,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
756,2020-07-15,322.41,323.04,319.265,321.85,307.656921,87602121,87196500,-0.56,-0.17369,321.39,"July 15, 20",-0.0017369
757,2020-07-14,313.3,319.76,312.0,318.92,304.856171,93767412,93657000,5.62,1.79,316.24,"July 14, 20",0.0179
758,2020-07-13,320.13,322.71,314.13,314.84,300.956024,103264881,102997500,-5.29,-1.65,318.55,"July 13, 20",-0.0165
759,2020-07-10,314.31,317.88,312.76,317.59,303.584717,57727227,57550400,3.28,1.04,315.8,"July 10, 20",0.0104
760,2020-07-09,316.84,317.1,310.68,314.38,300.516296,83568794,83354200,-2.46,-0.77642,313.97,"July 09, 20",-0.0077642
761,2020-07-08,314.61,316.3,312.7,316.18,302.236938,54804874,54638600,1.57,0.49903,314.89,"July 08, 20",0.0049903
762,2020-07-07,315.38,317.52,313.37,313.78,299.94278,83026624,82910000,-1.6,-0.50732,315.44,"July 07, 20",-0.0050732
763,2020-07-06,316.37,317.68,315.56,317.05,303.068542,61702399,61713800,0.68,0.21494,316.17,"July 06, 20",0.0021494
764,2020-07-02,314.24,315.7,311.51,312.23,298.461121,69581173,69344200,-2.01,-0.63964,313.32,"July 02, 20",-0.0063964
765,2020-07-01,309.57,311.89,309.07,310.52,296.826569,72569791,72396500,0.95,0.30688,310.48,"July 01, 20",0.0030688
766,2020-06-30,303.99,310.2,303.82,308.36,294.761719,113641644,113394800,4.37,1.44,307.46,"June 30, 20",0.0144
767,2020-06-29,301.41,304.61,298.93,304.46,291.033783,79974424,79773300,3.05,1.01,302.43,"June 29, 20",0.0101
768,2020-06-26,306.16,306.39,299.42,300.05,286.818207,127747637,127961000,-6.11,-2.0,302.01,"June 26, 20",-0.02
769,2020-06-25,303.47,307.64,301.28,307.35,293.796326,89071360,89468000,3.88,1.28,304.67,"June 25, 20",0.0128
770,2020-06-24,309.84,310.51,302.1,304.09,290.680115,132930330,132813500,-5.75,-1.86,305.18,"June 24, 20",-0.0186
771,2020-06-23,313.49,314.5,311.6101,312.05,298.289032,68714204,68471200,-1.44,-0.45934,312.86,"June 23, 20",-0.0045934
772,2020-06-22,307.99,311.05,306.75,310.62,296.922058,74929536,74649400,2.63,0.85392,309.56,"June 22, 20",0.0085392
773,2020-06-19,314.17,314.38,306.53,308.64,295.02948,135993861,135549600,-5.53,-1.76,310.35,"June 19, 20",-0.0176
774,2020-06-18,310.005,312.3,309.51,311.78,296.72525,80937795,80828700,1.775,0.57257,311.21,"June 18, 20",0.0057257
775,2020-06-17,314.07,314.39,310.86,311.66,296.611023,83306240,83398900,-2.41,-0.76734,312.64,"June 17, 20",-0.0076734
776,2020-06-16,315.48,315.64,307.67,312.96,297.848206,137995498,137627500,-2.52,-0.79878,312.6,"June 16, 20",-0.0079878
777,2020-06-15,298.02,308.28,296.74,307.05,292.223633,135544866,135782700,9.03,3.03,303.84,"June 15, 20",0.0303
778,2020-06-12,308.24,309.08,298.6,304.21,289.520752,194260108,194678900,-4.03,-1.31,303.43,"June 12, 20",-0.0131
779,2020-06-11,311.46,312.15,300.01,300.61,286.094543,209899988,209243600,-10.85,-3.48,305.79,"June 11, 20",-0.0348
